datetime,storage_acft
12/8/39,20180562.5
12/9/39,20171593.7
12/10/39,20156234.4
12/11/39,20146000
12/12/39,20137116.8
12/13/39,20120606.2
12/14/39,20102824.3
12/15/39,20090127.4
12/16/39,20076143.8
12/17/39,20064718.1
12/18/39,20054563.7
12/19/39,20040595.6
12/20/39,20029154.4
12/21/39,20012643.8
12/22/39,19997404.4
12/23/39,19984707.5
12/24/39,19972010.6
12/25/39,19965654.4
12/26/39,19951686.3
12/27/39,19941531.9
12/28/39,19927563.7
12/29/39,19908510.6
12/30/39,19897085
12/31/39,19883256.7
1/1/40,19868257.3
1/2/40,19854493.9
1/3/40,19840745.7
1/4/40,19829500
1/5/40,19809495.7
1/6/40,19789506.7
1/7/40,19774507.3
1/8/40,19764497.6
1/9/40,19748246.9
1/10/40,19737001.2
1/11/40,19725755.5
1/12/40,19714494.5
1/13/40,19704500
1/14/40,19699495.1
1/15/40,19690751.8
1/16/40,19680757.3
1/17/40,19671998.8
1/18/40,19659501.8
1/19/40,19648256.1
1/20/40,19633326.7
1/21/40,19625879.4
1/22/40,19615964.8
1/23/40,19598603
1/24/40,19586206.1
1/25/40,19571326.7
1/26/40,19556447.3
1/27/40,19541552.7
1/28/40,19534120.6
1/29/40,19530397
1/30/40,19518000
1/31/40,19504361.8
2/1/40,19503120.6
2/2/40,19501879.4
2/3/40,19494447.3
2/4/40,19487000
2/5/40,19490723.6
2/6/40,19489482.4
2/7/40,19484517.6
2/8/40,19484517.6
2/9/40,19480793.9
2/10/40,19482035.2
2/11/40,19478326.7
2/12/40,19475844.2
2/13/40,19467155.8
2/14/40,19462206.1
2/15/40,19456000
2/16/40,19452276.4
2/17/40,19444844.2
2/18/40,19442361.8
2/19/40,19439879.4
2/20/40,19438638.2
2/21/40,19429964.8
2/22/40,19425000
2/23/40,19420035.2
2/24/40,19415085.4
2/25/40,19408879.4
2/26/40,19411361.8
2/27/40,19408879.4
2/28/40,19407638.2
2/29/40,19396482.4
3/1/40,19396482.4
3/2/40,19395241.2
3/3/40,19392768.8
3/4/40,19395241.2
3/5/40,19395241.2
3/6/40,19395241.2
3/7/40,19396482.4
3/8/40,19394000
3/9/40,19394000
3/10/40,19394000
3/11/40,19387844
3/12/40,19384165.4
3/13/40,19386612.8
3/14/40,19385396.6
3/15/40,19379240.6
3/16/40,19312815.8
3/17/40,19369406
3/18/40,19363250
3/19/40,19353415.4
3/20/40,19344797
3/21/40,19336193.6
3/22/40,19325112.8
3/23/40,19314047
3/24/40,19301750
3/25/40,19290684.2
3/26/40,19279603.4
3/27/40,19264844
3/28/40,19262396.6
3/29/40,19255009.4
3/30/40,19242712.4
3/31/40,19230415.4
4/1/40,19216887.2
4/2/40,19205806.4
4/3/40,19195971.8
4/4/40,19175056.4
4/5/40,19173825.2
4/6/40,19178750
4/7/40,19184906
4/8/40,19191047
4/9/40,19195971.8
4/10/40,19202112.8
4/11/40,19202112.8
4/12/40,19202112.8
4/13/40,19202112.8
4/14/40,19199665.4
4/15/40,19188584.6
4/16/40,19191047
4/17/40,19186137.2
4/18/40,19183674.8
4/19/40,19179981.2
4/20/40,19175056.4
4/21/40,19176287.6
4/22/40,19177518.8
4/23/40,19178750
4/24/40,19179981.2
4/25/40,19179981.2
4/26/40,19178750
4/27/40,19191047
4/28/40,19213193.6
4/29/40,19229184.2
4/30/40,19252547
5/1/40,19275924.8
5/2/40,19299287.6
5/3/40,19321434.2
5/4/40,19344797
5/5/40,19366943.6
5/6/40,19389075.2
5/7/40,19406397
5/8/40,19425000
5/9/40,19442361.8
5/10/40,19469638.2
5/11/40,19500638.2
5/12/40,19535361.8
5/13/40,19576276.4
5/14/40,19618447.3
5/15/40,19664506.7
5/16/40,19716996.9
5/17/40,19772004.9
5/18/40,19837007.3
5/19/40,19902154.4
5/20/40,19969468.1
5/21/40,20039324.3
5/22/40,20110436.3
5/23/40,20176718.8
5/24/40,20239437.5
5/25/40,20304958.7
5/26/40,20353979.4
5/27/40,20405582.5
5/28/40,20452020.6
5/29/40,20488144.4
5/30/40,20533291.3
5/31/40,20577146.9
6/1/40,20623585
6/2/40,20675298.1
6/3/40,20731205.1
6/4/40,20783192.4
6/5/40,20835535.5
6/6/40,20897117.7
6/7/40,20958963.9
6/8/40,21009124.5
6/9/40,21055321.3
6/10/40,21100196.8
6/11/40,21130554.2
6/12/40,21183357.4
6/13/40,21219250
6/14/40,21251168.7
6/15/40,21275115.8
6/16/40,21297715.5
6/17/40,21317668.7
6/18/40,21336290.6
6/19/40,21353581.3
6/20/40,21368209.4
6/21/40,21388162.6
6/22/40,21402790.6
6/23/40,21413424.8
6/24/40,21432046.8
6/25/40,21442697.1
6/26/40,21453341.3
6/27/40,21457365.2
6/28/40,21464055.4
6/29/40,21466738
6/30/40,21472103.3
7/1/40,21476127.2
7/2/40,21476127.2
7/3/40,21480134.8
7/4/40,21476127.2
7/5/40,21476127.2
7/6/40,21474785.9
7/7/40,21472103.3
7/8/40,21465396.7
7/9/40,21457365.2
7/10/40,21450668.7
7/11/40,21441365.8
7/12/40,21426737.8
7/13/40,21416087.4
7/14/40,21404121.9
7/15/40,21394802.9
7/16/40,21376197.1
7/17/40,21360237.8
7/18/40,21344262.2
7/19/40,21328302.9
7/20/40,21309697.1
7/21/40,21296384.2
7/22/40,21279093.5
7/23/40,21267128.1
7/24/40,21251168.7
7/25/40,21240534.5
7/26/40,21223243.9
7/27/40,21209947.1
7/28/40,21193987.8
7/29/40,21180714.8
7/30/40,21171481.9
7/31/40,21158285.2
8/1/40,21146393.6
8/2/40,21130554.2
8/3/40,21118678.7
8/4/40,21098875.5
8/5/40,21089642.6
8/6/40,21073803.2
8/7/40,21055321.3
8/8/40,21036839.4
8/9/40,21021000
8/10/40,20998554.2
8/11/40,20982714.8
8/12/40,20965554.2
8/13/40,20940481.9
8/14/40,20919377.4
8/15/40,20898413
8/16/40,20876153.2
8/17/40,20853877.4
8/18/40,20842091.9
8/19/40,20835535.5
8/20/40,20818504.9
8/21/40,20798867.7
8/22/40,20916754.9
8/23/40,20772798.1
8/24/40,20740298.1
8/25/40,20724698.7
8/26/40,20706496.8
8/27/40,20698705.1
8/28/40,20692198.7
8/29/40,20681804.4
